"X1","X2","X3","rep(seat, nrow(table))","rep(city, nrow(table))","rep(year, nrow(table))"
" Allama Mehr GhulamhShabbir Sial Advocate","  Independent","  139",151,"Multan",2008
" Muhammad HusnainhKhan Bosan","  Independent","  137",151,"Multan",2008
" Hakeem Moin-ud-DinhQureshi","  Independent","  91",151,"Multan",2008
" Shehla ShaheenhAdvoate","  Independent","  63",151,"Multan",2008
" Nawab MuhammadhIqbal Khan Advocate","  Independent","  36",151,"Multan",2008
"Liaqat Ali Khan","PPP","47480",152,"Multan",2008
" Syed Mujahid Ali Shah","  PML","  38112",152,"Multan",2008
" Muhammad Ibrahim Khan","  Independent","  36136",152,"Multan",2008
" Mukhdoom Syed Asad Murtaza Geelani","  PML(N)"," 

          

      

          
          11923",152,"Multan",2008
" Muhammad Imram Shoukat Khan","  Independent"," 
      

      

      

      

          
          
          393",152,"Multan",2008
" Farkhanda Khalid","  MQM","  380",152,"Multan",2008
" Syed Iftakhar AlihShah","  Independent","  254",152,"Multan",2008
"Dewan Syed Ashiq HussainhBukhari","PML","69246",153,"Multan",2008
" Rana Muhammad Qasim Noon","  Independent","  68762",153,"Multan",2008
" Dewan Syed Muhammad Haider Abbas Bukhari","  PPP","  16875",153,"Multan",2008
" Dewan Syed Jaffar Hussain","  PML(N)"," 

      

          

          
          3334",153,"Multan",2008
"Muhammad Saddique KhanhBaluch","PML","81983",154,"Lodhran",2008
" Mirza Muhammad Nasir Baig","  PPP","  79611",154,"Lodhran",2008
" Muhammad Tahir Ameer Ghroi","  PML(N)","  6508",154,"Lodhran",2008
" Muhammad Tufail Thakar Advocate","  MQM"," 

          

      

          
          884",154,"Lodhran",2008
"NawabhHayat Ullah KhanhTareen","PPP","50490",155,"Lodhran",2008
"Muhammad Akhtar Khan Kanjoo","PML-N","41642",155,"Lodhran",2008
"Muhammad Ajmal Khan Kanjoo","PML","40109",155,"Lodhran",2008
"Rana Muhammad Jahangir Noon","Independent","1012",155,"Lodhran",2008
"Malik AmjidhHussain Uttera","MQM","921",155,"Lodhran",2008
"Muhammad Raza Hayat Hiraj","PML","71381",156,"Khanewal",2008
" Syed Fakhar Imam","PPP","58271",156,"Khanewal",2008
" Dr.Syed Khawar Ali Shah","PML(N)","12911",156,"Khanewal",2008
" Maulana Muhammad Ajmal Qadri","Independent","1883",156,"Khanewal",2008
" SyedhFaisal Imam","JWP","1167",156,"Khanewal",2008
" MuhammadhAqeel Yousaf Bhatti","Independent","880",156,"Khanewal",2008
" RiazhShahid Khan Punian Advocate","PNP","869",156,"Khanewal",2008
"Hamid Yar Hiraj","PML","58819",157,"Khanewal",2008
"Muhammad Khan Daha","PML(N)","58231",157,"Khanewal",2008
"Syed Faisal Imam","PPP","19756",157,"Khanewal",2008
"Sohail Sikandar Khan Daha","Independent","761",157,"Khanewal",2008
"Pir Aslam Bodla","PML","57777",158,"Khanewal",2008
"Pir Haider Zaman Qureshi","PPP","56821",158,"Khanewal",2008
"Farhat Ullah Khan","PML(N)","39375",158,"Khanewal",2008
"Wing Commander(R) Muhammad Nawaz Asim","MQM","1512",158,"Khanewal",2008
"hKanwar Tahseen Ashraf","  Independent","    137",158,"Khanewal",2008
"Ch. Iftikhar Nazir","PPP","78255",159,"Khanewal",2008
"Malik Ghulam Murtaza Maitla","PML","61188",159,"Khanewal",2008
"Rao Abid Rizwan Shoukat","PML(N)","10417",159,"Khanewal",2008
"Captain(R) Ch.Muhammad Asad Iqbal Gill","Independent","3801",159,"Khanewal",2008
"hRauf Ijaz Cheema","  Independent","  869",159,"Khanewal",2008
"hAdvocate Rao Muhammad Arif Khan","  Independent","  59",159,"Khanewal",2008
"Syed Imran Ahmed Shah","PML(N)","59373",160,"Sahiwal",2008
"Ch.Nauraiz Shakoor Khan","PML","31119",160,"Sahiwal",2008
"Anwar-ul-Haq Ramay","PPP","27638",160,"Sahiwal",2008
"Rao Zaid Bin Ismail","Independent","2981",160,"Sahiwal",2008
"Ch.Shabbir Ali Ahmed Khan","Independent","1788",160,"Sahiwal",2008
"M.Sarwar Khan Saqib","Independent","650",160,"Sahiwal",2008
"Hamaad RasoolhRamay","Independent","242",160,"Sahiwal",2008
"Muhammad ImranhCh.","Independent","165",160,"Sahiwal",2008
"Sh.AbdulhMajeed Javed","Independent","100",160,"Sahiwal",2008
"Toqeer Zishan","Independent","80",160,"Sahiwal",2008
"Tallat HanifhButt","Independent","32",160,"Sahiwal",2008
"Ghulam Farid Kathia","PPP","38962",161,"Sahiwal",2008
" Ch.Muhammad Ashraf","  PDP","  33110",161,"Sahiwal",2008
"Rana Tariq Javed","PML","28879",161,"Sahiwal",2008
"Ehsan-ul-Haq Idrees Advocate","PML(N)","22625",161,"Sahiwal",2008
"Mian Mohsin Rashid","Independent","3431",161,"Sahiwal",2008
"Rai Muhammad Nawaz Kharal","Independent","1330",161,"Sahiwal",2008
"Malik Ghulam Hussain Advocate","Independent","422",161,"Sahiwal",2008
"MuhammadhHafeez Tabassum","MQM","150",161,"Sahiwal",2008
"Chaudhry Zahid Iqbal","PML","75579",162,"Sahiwal",2008
"Rai Aziz Ullah Khan","Independent"," 65440",162,"Sahiwal",2008
"Saeed Ahmed Chaudhry","Independent","301",162,"Sahiwal",2008
"Malik Nauman AhmedhLangriyal","PML","39864",163,"Sahiwal",2008
" Begum Shahnaz Javed","  PPP","  37986",163,"Sahiwal",2008
"Ch.Muhammad Munir Azhar","PML(N)","34644",163,"Sahiwal",2008
"Saeed Ahmed","Independent","17708",163,"Sahiwal",2008
"Makhdoom Nasir Farid Chishti","PBP","1650",163,"Sahiwal",2008
"Sardar Mansab Ali Doggar","PML(N)","35597",164,"Pakpattan",2008
" Pir Muhammad Shah Khagga","  PML","  34196",164,"Pakpattan",2008
"Rao Muhammad Jameel Hashim Khan","PPP","26315",164,"Pakpattan",2008
"Mian Muhammad Farrukh Mumtaz Khan Maneka","Independent","16783",164,"Pakpattan",2008
"Nadeem Iqbal","PBP","218",164,"Pakpattan",2008
"Syed Muhammad SalmanhMohsin Gillani","PML(N)","67400",165,"Pakpattan",2008
" Mian Ahmad Raza Khan Maneka","  PML","  36603",165,"Pakpattan",2008
"Mian Nasim Mahmood Hotiana","PPP","15900",165,"Pakpattan",2008
"Rana Zahid Hussain Khan","PML(N)","66418",166,"Pakpattan",2008
"Dr.Junaid Mumtaz Joya","PML","42860",166,"Pakpattan",2008
"Naeem Mehmood Rana","PPP","13522",166,"Pakpattan",2008
"Rana GhazanfarhAbbas","Independent","730",166,"Pakpattan",2008
"Aish MuhammadhKhan Siraa","Independent","0",166,"Pakpattan",2008
"Chaudhry Nazir Ahmed Jatt","PML","65250",167,"Vehari",2008
"Syed Sajid Mehdi","Independent","38383",167,"Vehari",2008
"Syed Shahid Mehdi Naseem Shah","PPP","32314",167,"Vehari",2008
"Qurban Ali Chuhan","Independent","14754",167,"Vehari",2008
"Agha Khalid Mahmood Advoate","Independent","761",167,"Vehari",2008
"Syed Muhammad Iqbal Shah","PML-N","7680",167,"Vehari",2008
"Tahir Naveed Dogar Advocate","Independent","608",167,"Vehari",2008
"Mukhtar Ahmed Jatt Advocate","Independent","190",167,"Vehari",2008
"Natasha Doultana","PPP","70146",168,"Vehari",2008
"Bilal Akbar Bhatti","PML(N)","46328",168,"Vehari",2008
"Hafiz Muhammad Iqbal Kharal","Independent","2976",168,"Vehari",2008
"Shoukat Ali","Independent","679",168,"Vehari",2008
"Shahid QamarhGhani","Independent","233",168,"Vehari",2008
"Ch. MuhammadhYasir Gujjar","Independent","188",168,"Vehari",2008
"Khan MoinhAhmed Khan Sahoka","Independent","83",168,"Vehari",2008
"Tahir NaqashhJat","Independent","63",168,"Vehari",2008
"Tehmina Daultana","PML(N)","48999",169,"Vehari",2008
"Khan Aftab Ahmad Khan Khichi","PML","45885",169,"Vehari",2008
"Saeed Ahmad Khan Manais","Independent","45828",169,"Vehari",2008
"Ghulam SarwarhKhan Khichi","PPP","9094",169,"Vehari",2008
"MuhammadhSarwar Choudhry","Independent","386",169,"Vehari",2008
"MuhammadhSarwar Alvi","MQM","293",169,"Vehari",2008
"Asif SaeedhManais","Independent","150",169,"Vehari",2008
"Mehmood Hayat Khan aliashTochi Khan","PPP","87124",170,"Vehari",2008
"Aurangzaib Khan Khichi","PML","56816",170,"Vehari",2008
"Saeed Ahmad Khan Manais","Independent","5875",170,"Vehari",2008
"Sardar NoorhAhmed Khan Malaizai","PML(N)","3580",170,"Vehari",2008
"Asif SaeedhManais","Independent","766",170,"Vehari",2008
"Hafiz KhubaibhAhmad Jamal","Independent","431",170,"Vehari",2008
"Azhar AhmadhKhan Yousafzai","Independent","107",170,"Vehari",2008
"Nauman GulhKhan","Independent","34",170,"Vehari",2008
"Khawja Sheeraz Mehmood","PML","39628",171,"Dera Ghazi Khan",2008
"Amjad Farooq Khan Khosa","Independent","36400",171,"Dera Ghazi Khan",2008
"Sardar Meer Badshah Khan Qaisrani","PML(N)","35124",171,"Dera Ghazi Khan",2008
"KhawjahMudassir Mehmood","PPP","19221",171,"Dera Ghazi Khan",2008
"KhawjahMuhammad Dawood Sulemani","Independent","16543",171,"Dera Ghazi Khan",2008
"Khawja GhulamhNizam Ud Din","MMA","14914",171,"Dera Ghazi Khan",2008
"ShamoonahUmbreen Qaisrani","Independent","557",171,"Dera Ghazi Khan",2008
"Sher ZamanhQaisrani","Independent","115",171,"Dera Ghazi Khan",2008
"DastgirhMuhammad Hamauyun Advocate Khetran","Independent","102",171,"Dera Ghazi Khan",2008
"Muhammad TahirhMakhdoom","JUI(S)","30",171,"Dera Ghazi Khan",2008
"Sardar Awais Ahmed KhanhLaghari","PML","61918",172,"Dera Ghazi Khan",2008
"Dr Hafiz Abdul Karim","PML(N)","40460",172,"Dera Ghazi Khan",2008
"Shabir Ahmed Khan Leghari","PPP","16226",172,"Dera Ghazi Khan",2008
"Khalid Mehmood","Independent","424",172,"Dera Ghazi Khan",2008
"SardarhMuhammad Khan Leghari","Independent","219",172,"Dera Ghazi Khan",2008
"Khalil AhmedhKhan Barmani Advocate","Independent","124",172,"Dera Ghazi Khan",2008
"Hafiz AhmedhHassan Advocate","Independent","109",172,"Dera Ghazi Khan",2008
"Sajad AhmedhKhan","Independent","92",172,"Dera Ghazi Khan",2008
"Hakeem SheikhhMoin-ud-Din Qureshi","Independent","86",172,"Dera Ghazi Khan",2008
"Syed FurrukhhWaseem Bukhari","Independent","84",172,"Dera Ghazi Khan",2008
"Ashiq Hussain","Independent","73",172,"Dera Ghazi Khan",2008
"Allah DittahKhan","Independent","48",172,"Dera Ghazi Khan",2008
"Sheikh AkhtarhAli","Independent","43",172,"Dera Ghazi Khan",2008
"Zain Faiz","Independent","39",172,"Dera Ghazi Khan",2008
"Dr SaeedhBarooz","Independent","23",172,"Dera Ghazi Khan",2008
"Shahid HamidhKhan Chandio","Independent","18",172,"Dera Ghazi Khan",2008
"Muhammad LatifhAnsar","Independent","14",172,"Dera Ghazi Khan",2008
"ManzoorhHussain","Independent","2",172,"Dera Ghazi Khan",2008
"Sardar MuhammadhSaif-ul-Din Khan Khosa","PML(N)","56475",173,"Dera Ghazi Khan",2008
"Sardar Awais Ahmad Khan Leghari","PML","56074",173,"Dera Ghazi Khan",2008
"Muhammad Saif Ullah Khan Sadozai Advocate","PPP","18236",173,"Dera Ghazi Khan",2008
"Salauddin KhanhKhosa","Independent","1561",173,"Dera Ghazi Khan",2008
"Malik FaizhMuhammad Adovocate","MMA","1559",173,"Dera Ghazi Khan",2008
"Meena AhsanhLeghari","Independent","337",173,"Dera Ghazi Khan",2008
"Sardar HussainhAhmad Khan Leghari (Retired)","Independent","325",173,"Dera Ghazi Khan",2008
"Sardar Muhammad Jafar KhanhLeghari","PML","50440",174,"Rajanpur",2008
"Sardar Nasrullh Khan Dreshak.","Independent","40049",174,"Rajanpur",2008
"Khawaja Kaleem-ud-Din Koreja.","PPP","38484",174,"Rajanpur",2008
"SardarhZulfiqar Khan Dreshak","Independent","1214",174,"Rajanpur",2008
"Farooq AhmadhKhan Leghari (Retired)","Independent","213",174,"Rajanpur",2008
"Meena IhsanhLeghari","Independent","55",174,"Rajanpur",2008
"Meer Doost Muhammad Mazari","PPP","78427",175,"Rajanpur",2008
"Sardar Nasrullh Khan Dreshak.","PML","46210",175,"Rajanpur",2008
"Sardar Muhammad Awais Dreshak.","Independent","4802",175,"Rajanpur",2008
"SardarhZulfiqar Khan Dreshak.","Independent","1528",175,"Rajanpur",2008
"Qadeer ShehbazhMazari","Independent","1247",175,"Rajanpur",2008
"Muhammad Mohsin Ali Qureshi","PPP","50826",176,"Muzaffargarh",2008
"Malik Ghulam Qasim Hinjra","PML","46745",176,"Muzaffargarh",2008
"Mian Muhammad Arshad Abbas Qureshi","PML(N)","42225",176,"Muzaffargarh",2008
"Syed IqbalhHussain","MQM","1093",176,"Muzaffargarh",2008
"MuhammadhArshad Sidique","Independent","826",176,"Muzaffargarh",2008
"Malik MuhammadhNaeem Khar","Independent","416",176,"Muzaffargarh",2008
"Sardar GhulamhAbbas Khan Lashari","Independent","115",176,"Muzaffargarh",2008
"Hina Rabbani Khar","PPP","84916",177,"Muzaffargarh",2008
"Khalid Ahmad Gurmani","PML","50834",177,"Muzaffargarh",2008
"Malik Muhammad Basit Khar","PML(N)","5721",177,"Muzaffargarh",2008
"Jamshed Ahmed Dasti","PPP","57946",178,"Muzaffargarh",2008
"Nawabzada Iftikhar Ahmad Khan Babar","PML","42485",178,"Muzaffargarh",2008
"Nawabzada Mansoor Ahmad Khan","PDP","30102",178,"Muzaffargarh",2008
"Main EhasnhKareem Qureshi","PML-N","3089",178,"Muzaffargarh",2008
"Nawab SultanhAhmad Khan (Retired)","Independent","1571",178,"Muzaffargarh",2008
"Rao AbdulhQayyum Khan Advocate","MQM","863",178,"Muzaffargarh",2008
"Muhammad Moazam Ali KhanhJatoi","PPP","79643",179,"Muzaffargarh",2008
"Makhdom Zada Syed Basit Ahmad Sultan Bukhari","PML","60637",179,"Muzaffargarh",2008
"Rao Muhammad Mohsin Ali Khan","PML(N)","3698",179,"Muzaffargarh",2008
"Makhdom ZadahSyed Haroon Ahmad Sultan Bukhari","Independent","1427",179,"Muzaffargarh",2008
"Nawab ZadahMansoor Ahmad Khan","PDP","813",179,"Muzaffargarh",2008
"MuhammadhZiaullah Jatoi","Independent","272",179,"Muzaffargarh",2008
"Abdul Qayyum Khan Jatoi","PPP","68270",180,"Muzaffargarh",2008
"Sardar Ashiq Hussain Gopan","PML","63114",180,"Muzaffargarh",2008
"Makhadom Jamil Ahmed Hussain Bukhari","PML(N)","3549",180,"Muzaffargarh",2008
"Rana Zia AhmedhFarooqi Advocate","JUI(S)","404",180,"Muzaffargarh",2008
"Yasir ArfathKhan","Independent","340",180,"Muzaffargarh",2008
"Muhammad ShafihKhan","Independent","133",180,"Muzaffargarh",2008
"Ameer Ali Barq","Independent","42",180,"Muzaffargarh",2008
"Mian FayyazhMehmood","Independent","30",180,"Muzaffargarh",2008
"Sardar Bahadar Ahmad KhanhSeehar","PML","58797",181,"Layyah",2008
"Sahibzada-Faizul-Hassan","PML(N)","56951",181,"Layyah",2008
"Choudhary Altaf Hussain","PPP","46149",181,"Layyah",2008
"Ahmad NawazhKhan","Pasban","566",181,"Layyah",2008
"Muhammad RabhNawaz","MMA","396",181,"Layyah",2008
"Malik AbdulhShakoor Siwag","Independent","307",181,"Layyah",2008
"Syed Muhammad SaqlainhBukhari","PML(N)","75910",182,"Layyah",2008
"Malik Niaz Ahmad Jakhar","PML","52108",182,"Layyah",2008
"Syed Faqeer Hussain Shah","PPP","41328",182,"Layyah",2008
"Aarif Aziz Sheikh","PPP","71394",183,"Bahawalpur",2008
"Mukhdoom Syed Sami-ul-Hassan Gilani","PML","39644",183,"Bahawalpur",2008
"Lt. Col. (R) Syed Karim Haider Bukhari","Independent","41723",183,"Bahawalpur",2008
"MukhdoomhSohail Hassan Gilani","Independent","925",183,"Bahawalpur",2008
"Iftikhar AhmedhHaqani","MMA","459",183,"Bahawalpur",2008
"Khadija Aamir Yar Malik","PPP","74287",184,"Bahawalpur",2008
"Mian Najeeb-ud-Din Owaisi","PML(N)","48776",184,"Bahawalpur",2008
"Rao Muhammad Javed Iqbal","Independent","6734",184,"Bahawalpur",2008
"Dr. MuhammadhNiaz Malik","Independent","1263",184,"Bahawalpur",2008
"Hafiz MunirhAhmed Advocate","Independent","1043",184,"Bahawalpur",2008
"MuhammadhSafdar Mohal","Independent","890",184,"Bahawalpur",2008
"Malik EjazhAhmed Chanter","Independent","270",184,"Bahawalpur",2008
"MuhammadhKashif","Independent","257",184,"Bahawalpur",2008
"Muhammad JamilhBaig","Independent","204",184,"Bahawalpur",2008
"Malik KhalidhMehmood Babar Warn","Independent","174",184,"Bahawalpur",2008
"Shahid Abbas","Independent","99",184,"Bahawalpur",2008
"Malik TahirhMehmood","Independent","91",184,"Bahawalpur",2008
"Muhammad Baleegh-ur-Rehman","PML(N)","54334",185,"Bahawalpur",2008
"Muhammad Farooq Azam Malik","PPP","47337",185,"Bahawalpur",2008
"Muhammad Afrooq Anwar Abbasi","PML","18822",185,"Bahawalpur",2008
"Muhammad UsmanhFarooq Malik","Independent","499",185,"Bahawalpur",2008
"SardarhMuhammad Hussain Khan Lodhi.","Independent","301",185,"Bahawalpur",2008
"SahibzadihSaira Abbasi Advocate","Independent","73",185,"Bahawalpur",2008
"Syed IrfanhAhmed Gardazi","Independent","47",185,"Bahawalpur",2008
"Mian Riaz Hussain Pirzada","PML","66757",186,"Bahawalpur",2008
"Syed Tasneem Nawaz Gardezi","Independent","50468",186,"Bahawalpur",2008
"Chaudhry Muhammad Jamil Johar Advocate","PML(N)","21123",186,"Bahawalpur",2008
"MuhammadhNawazish Ali Pirzada","PPP","17947",186,"Bahawalpur",2008
"Ch. Saud Majeed","PML(N)","77860",187,"Bahawalpur",2008
"Ch.Pervaiz Elahi","PML","60079",187,"Bahawalpur",2008
"Iftikhar Ahmed Cheema Advocate","PPP","6112",187,"Bahawalpur",2008
"Mahmood Majeed","Independent","695",187,"Bahawalpur",2008
"Muhammad Akhtar KhadimhAlias Khadim Hussain.","PML","52981",188,"Bahawalnagar",2008
"Shoukat Ali Joya Laleka","PPP","44861",188,"Bahawalnagar",2008
"Syed Muhammad Asghar Shah.","Independent","40191",188,"Bahawalnagar",2008
"ProfessorhDoctor Noor Muhammad Ghafari.","PML(N)","4538",188,"Bahawalnagar",2008
"Malik MuhammadhNaeem Khar","Independent","228",188,"Bahawalnagar",2008
"Sayed Mumtaz Alam Gillani","PPP","49678",189,"Bahawalnagar",2008
"Dr. Mian Akhtar Ali Lalika","PML(N)","37218",189,"Bahawalnagar",2008
"Shahida Sattar Laleka","PML","35787",189,"Bahawalnagar",2008
"Ehsan BarihMian Doctor Sahib","MMA","4626",189,"Bahawalnagar",2008
"Rao MuhammadhFarman Uarf Chotu Chacha","MQM","1423",189,"Bahawalnagar",2008
"Samina Naveed","Independent","198",189,"Bahawalnagar",2008
"Malik MuhammadhNaeem Khar","Independent","77",189,"Bahawalnagar",2008
"Ahmed FaridhChishti","Independent","73",189,"Bahawalnagar",2008
"Abdul Ghafoor Chaudhary","PPP","77664",190,"Bahawalnagar",2008
"Tahir Bashir Cheema","PML","70081",190,"Bahawalnagar",2008
"Abid Azeem","PML(N)","2800",190,"Bahawalnagar",2008
"Dr. TajhHussain Fani","MQM","383",190,"Bahawalnagar",2008
"MuhammadhMaqasood Anjum","Independent","109",190,"Bahawalnagar",2008
"Muhammad Afzal Sindhu","PPP","83903",191,"Bahawalnagar",2008
"Muhammad Ijaz-Ul-Haq","PML","79283",191,"Bahawalnagar",2008
"Muhammad Yar Khan Kamoka","PML(N)","3438",191,"Bahawalnagar",2008
"Muhammad RaufhKhalid","Independent","979",191,"Bahawalnagar",2008
"Sardar AfzaalhAhmed Madahar Advocate","MQM","734",191,"Bahawalnagar",2008
"Mian AbdulhRasheed","Independent","163",191,"Bahawalnagar",2008
"Syed Hamid Saeed Kazmi","PPP","65395",192,"Rahimyar Khan",2008
"Makhdoom Syed Ahmad Alam Anwar","PML","45579",192,"Rahimyar Khan",2008
"Makhdum Syed Ahmad Mahmud","PML(F)","40131",192,"Rahimyar Khan",2008
"MianhFaiz-ul-Hassan","PML(N)","3051",192,"Rahimyar Khan",2008
"ChaudhryhMasood Ahmad","Independent","767",192,"Rahimyar Khan",2008
"Makhdoom SyedhMuhammad Masood Alam","Independent","388",192,"Rahimyar Khan",2008
"Jahangir KhanhTareen (Retired)","Independent","178",192,"Rahimyar Khan",2008
"Mian Abdul Sattar","PPP","58572",193,"Rahimyar Khan",2008
"Sheikh Muhammad Anwar","PML","37021",193,"Rahimyar Khan",2008
"Zaib Jafar","PML(N)","24831",193,"Rahimyar Khan",2008
"Maj: (Rtd)hSyed Tanveer Hussain Satara Juraat","PML(F)","11852",193,"Rahimyar Khan",2008
"SheikhhMuhammad Akbar","Independent","903",193,"Rahimyar Khan",2008
"Ch: MuhammadhJafar Iqbal","Independent","877",193,"Rahimyar Khan",2008
"MuhammadhSiddique","Independent","361",193,"Rahimyar Khan",2008
"Ghous Muhammad","Independent","252",193,"Rahimyar Khan",2008
"Makhdoom Shahab-ud-Din","PPP","59710",194,"Rahimyar Khan",2008
"Makhdoom Khusru Bakhtiar","PML","42442",194,"Rahimyar Khan",2008
"Makhdoom Syed Ahmad Mahmood","PML(F)","34107",194,"Rahimyar Khan",2008
"Shehzad AsgharhKhan Rind, Advocate","PML(N)","1245",194,"Rahimyar Khan",2008
"Makhdoom FahadhIqbal","Independent","658",194,"Rahimyar Khan",2008
"Syed Mustafa Mehmood","PML(F)","81097",195,"Rahimyar Khan",2008
"Molvi Muhammad Tariq Chohan","Independent","17898",195,"Rahimyar Khan",2008
"Waheed-ud-Din","Independent","1823",195,"Rahimyar Khan",2008
"Jam MushtaqhAhmed Bhait","Independent","727",195,"Rahimyar Khan",2008
"Malik MuhammadhIshaq Solangi","Independent","559",195,"Rahimyar Khan",2008
"Abdul MajeedhKhan","Independent","259",195,"Rahimyar Khan",2008
"Hakeem MianhGulzar Hussain","Independent","228",195,"Rahimyar Khan",2008
"Rais JehangirhAhmed","Independent","155",195,"Rahimyar Khan",2008
"Raja WaqashMahfooz","Independent","97",195,"Rahimyar Khan",2008
"Pir AyazhMuhammad Shah Advocate","Independent","75",195,"Rahimyar Khan",2008
"Javed Iqbal Warraich","PPP","52090",196,"Rahimyar Khan",2008
"Mian Imtiaz Ahmad","Independent","47205",196,"Rahimyar Khan",2008
"Ch. Muhammad Jafar Iqbal","PML(N)","20307",196,"Rahimyar Khan",2008
"Ch. ZaffarhIqbal Warraich","PML","18375",196,"Rahimyar Khan",2008
"Muhammad RiazhNoori","MMA","1134",196,"Rahimyar Khan",2008
"IftikharhMughal","MQM","544",196,"Rahimyar Khan",2008
"Zaib Jafar","Independent","363",196,"Rahimyar Khan",2008
"Shahid Islam","Independent","254",196,"Rahimyar Khan",2008
"Javid HassanhGujjar","Independent","215",196,"Rahimyar Khan",2008
"Mian AhmadhBilal","Independent","183",196,"Rahimyar Khan",2008
"Sardar Muhammad ArshadhKhan Laghari","PML-N","82565",197,"Rahimyar Khan",2008
"Rais Munir Ahmad","PPP","53983",197,"Rahimyar Khan",2008
"Rais IbraheemhKhalil Ahmad","Independent","2081",197,"Rahimyar Khan",2008
"Shoukat Dawood","  Independent","1166",197,"Rahimyar Khan",2008
"Ch. Muhammad Shafique"," Independent","503",197,"Rahimyar Khan",2008
"Muhammad Talib Bhatti","MQM","479",197,"Rahimyar Khan",2008
"Muhammad Faiz-ur-Rehman","MMA","157",197,"Rahimyar Khan",2008
"Nauman Islam Shaikh","PPP","74086",198,"Sukkur",2008
"Tahir Hussain Shah","PML","22854",198,"Sukkur",2008
"Hafiz Masroor Lateef","PML(N)","4138",198,"Sukkur",2008
"Muhammad AsadhThaniwi","JUI(S)","3354",198,"Sukkur",2008
"Munawar AlihChoohan","MQM","1862",198,"Sukkur",2008
"Syed MuhammadhAyoub","MMA","899",198,"Sukkur",2008
"Noor MuhammadhSoomro","Independent","80",198,"Sukkur",2008
"Sardar MirhYakoob Ali Shah","SUP","66",198,"Sukkur",2008
"Arshad","Independent","56",198,"Sukkur",2008
"Salman IslamhShaikh","Independent","51",198,"Sukkur",2008
"Taj MuhammadhShaikh","Independent","47",198,"Sukkur",2008
"Farrukh AdilhShaikh","Independent","24",198,"Sukkur",2008
"Syed MuhammadhFahad Rafique Faizi","Independent","23",198,"Sukkur",2008
"Muhammad Ali","Independent","23",198,"Sukkur",2008
"Arif Hussain","Independent","21",198,"Sukkur",2008
"Makhdoom FaiqhHussain","Independent","11",198,"Sukkur",2008
"Syed Khursheed Ahmed Shah","PPP","93394",199,"Sukkur",2008
"Taj Mohammad Shaikh","PML","34204",199,"Sukkur",2008
"Haji Javed Iqbal Jat","PML(N)","250",199,"Sukkur",2008
"Manzoor AhmedhSoomro","MMA","200",199,"Sukkur",2008
"Abdul MujeebhPirzada","NPP","168",199,"Sukkur",2008
"Dr. NoorhMohammad Waseem Soomro","Independent","62",199,"Sukkur",2008
"Waheed AhmedhMughal","MQM","45",199,"Sukkur",2008
"Moulana NalayhMitho Shaikh","ST","38",199,"Sukkur",2008
"Syed AwaishQadir Shah","Independent","27",199,"Sukkur",2008
"Jam SaifullahhKhan Dharejo","Independent","22",199,"Sukkur",2008
"Mohammad AlihShaikh","Independent","20",199,"Sukkur",2008
"HidayatullahhKhan","Independent","14",199,"Sukkur",2008
"Tahir HussainhShah","Independent","10",199,"Sukkur",2008
"Mian Abdul Haq alias MianhMitho","PPP","59022",200,"Ghotki",2008
"Khalid Ahmed Khan Lund","PML","50223",200,"Ghotki",2008
"Ali Mohammad Khan Mahar","Independent","32532",200,"Ghotki",2008
"Sanwal KhanhShar","Independent","195",200,"Ghotki",2008
"Jam MahtabhHussain Dahar","Independent","135",200,"Ghotki",2008
"Sardar AhmedhAli Khan Pitafi","Independent","109",200,"Ghotki",2008
"Ali MohammadhKhan Juna Advocate","PML(N)","104",200,"Ghotki",2008
"Pir BuxhSolangi","MQM","31",200,"Ghotki",2008
"Mian FarooqhAhmed","Independent","27",200,"Ghotki",2008
"Mir Khan Mahar","Independent","21",200,"Ghotki",2008
"Ziauddin KhanhChacher","Independent","19",200,"Ghotki",2008
"Abdul BarifhPitafi","Independent","16",200,"Ghotki",2008
"Hazar KhanhMahar","Independent","11",200,"Ghotki",2008
" Arif Hussain","  Independent","  9",200,"Ghotki",2008
"Ali Mohammad Khan Mahar","Independent","74714",201,"Ghotki",2008
"Sardar Ahmed Khan aliashFayyaz Ali Khan Lund","PPP","51894",201,"Ghotki",2008
"Nadir Ali Khan","Independent","354",201,"Ghotki",2008
"Syed AttaullahhShah Bukhari","PML(N)","105",201,"Ghotki",2008
"Sardar AhmedhAli Khan Pitafi","Independent","92",201,"Ghotki",2008
"Dr.Imam BuxhKhilji","MQM","80",201,"Ghotki",2008
"Abdul RazaqhKhan Mahar","Independent","57",201,"Ghotki",2008
"Jam SaifullahhKhan Dharejo","Independent","50",201,"Ghotki",2008
"Nadir AlihChachar Advocate","Independent","48",201,"Ghotki",2008
"Syed AyazhHussain Shah Bukhari","Independent","46",201,"Ghotki",2008
"Aftab Shahban Mirani","PPP","47379",202,"Shikarpur",2008
"Muhammad Ibrahim Jatoi","NPP","39405",202,"Shikarpur",2008
"Moulana Abdullah Pahore","MMA","12521",202,"Shikarpur",2008
"Juniad AhmedhSoomro","Independent","1577",202,"Shikarpur",2008
"Lal HussainhKhan Jatoi","Independent","309",202,"Shikarpur",2008
"Syed JehanhShah (Retd)","MQM","230",202,"Shikarpur",2008
"Mir Hazar KhanhBhayo","Independent","185",202,"Shikarpur",2008
