"Name","Party","Votes","Seat","City","Year"
"Abdul Waheed","Independent","1246",25,"&#13;
      Complete Result of NA25 D.I.Khan / Tank",2002
"Maulana Nasib Ali Shah","MMA","78886",26,"&#13;
      Complete Result of NA26 Bannu",2002
"Muhammad Mustafa Khan","Independent","31867",26,"&#13;
      Complete Result of NA26 Bannu",2002
"Saifur Rehman",NA,"1140",26,"&#13;
      Complete Result of NA26 Bannu",2002
"Muhammad Roshan","MQM","603",26,"&#13;
      Complete Result of NA26 Bannu",2002
"Maulana Amanullah Khan","MMA","65938",27,"&#13;
      Complete Result of NA27 Lakki Marwat",2002
"Anwar Saifullah Khan","PMl-Q","41171",27,"&#13;
      Complete Result of NA27 Lakki Marwat",2002
"Sher Akbar Khan Advocate","PPP-S","34224",28,"&#13;
      Complete Result of NA28 Buner",2002
"Abdul Mateen Khan","ANP","19638",28,"&#13;
      Complete Result of NA28 Buner",2002
"Said Raheem Advocate","Independent","12473",28,"&#13;
      Complete Result of NA28 Buner",2002
"Usman Shah","PPP","4362",28,"&#13;
      Complete Result of NA28 Buner",2002
"Ali Sher Khan","PML-N","3034",28,"&#13;
      Complete Result of NA28 Buner",2002
"Qari Abdul Baees Saddiqui","MMA","65808",29,"Swat",2002
"Adnan Aurang Zeb","PML-Q","18265",29,"Swat",2002
"Imran Khan","PTI","6060",29,"Swat",2002
"Shamsher Ali Khan","PPP","5921",29,"Swat",2002
"Azeem Khan Advocate",NA,"1932",29,"Swat",2002
"Fazal-e-Subhan","MMA","67085",30,"&#13;
      Complete Result of NA30 Swat",2002
"Shujaat Ali Khan","PML-Q","15680",30,"&#13;
      Complete Result of NA30 Swat",2002
"Salim Rehman","PPP","10867",30,"&#13;
      Complete Result of NA30 Swat",2002
"Shaukat Ali","PAP","2592",30,"&#13;
      Complete Result of NA30 Swat",2002
"Muhammad Mukhtar","PKMAP","2134",30,"&#13;
      Complete Result of NA30 Swat",2002
"Doctor Sahibzada Liaqat Alih Khan","PTI","811",30,"&#13;
      Complete Result of NA30 Swat",2002
"Engineer Amir Muqam","MMA","25960",31,"&#13;
      Complete Result of NA31 Shangla",2002
"Doctor Safeer Khan","ANP","18676",31,"&#13;
      Complete Result of NA31 Shangla",2002
"Afsar-ul-Mulk","PPP","11769",31,"&#13;
      Complete Result of NA31 Shangla",2002
"Jamal Zeb Khan","PML-N","2743",31,"&#13;
      Complete Result of NA31 Shangla",2002
"Muhammad Saleem Khan","Independent","531",31,"&#13;
      Complete Result of NA31 Shangla",2002
"Ibadullah","Independent","406",31,"&#13;
      Complete Result of NA31 Shangla",2002
"Abdul Akbar Khan","MMA","36130",32,"Chitral",2002
"Iftikharuddin","PML-Q","23907",32,"Chitral",2002
"Sardar Ali S. Aman","PPP","20862",32,"Chitral",2002
"Abdul Latif","PTI","516",32,"Chitral",2002
"Molana Asad Ullah","MMA","39362",33,"&#13;
      Complete Result of NA33 Upper Dir Cum Lower Dir",2002
"Muhammad Anwar Khan Advocate","PPP","24259",33,"&#13;
      Complete Result of NA33 Upper Dir Cum Lower Dir",2002
"Barrister Muhammad Islam Khan","PPP-S","4184",33,"&#13;
      Complete Result of NA33 Upper Dir Cum Lower Dir",2002
"Gul Zamin Said","ANP","3268",33,"&#13;
      Complete Result of NA33 Upper Dir Cum Lower Dir",2002
"Sultan Ali Shah","PTI","861",33,"&#13;
      Complete Result of NA33 Upper Dir Cum Lower Dir",2002
"Qazi Hussain Ahmad","MMA","53799",34,"Lower Dir",2002
"Muhammad Ayub Khan","ANP","34078",34,"Lower Dir",2002
"Muhammad Bashir","PTI","1136",34,"Lower Dir",2002
"Sardar Abul Hakeem Tajakh Advocate","PML-Q","1123",34,"Lower Dir",2002
"Aurangzeb Khan","Independent","313",34,"Lower Dir",2002
"Muhammad Rashid Khan Advocate","PML-N","224",34,"Lower Dir",2002
"Maulana Muhammadh Inayat-ur-Rehman","PPP","37663",35,"&#13;
      Complete Result of NA35 Malakand ",2002
"Lal Muhammad Khan","PPP","17538",35,"&#13;
      Complete Result of NA35 Malakand ",2002
"Bahr-e-Karam","ANP","5167",35,"&#13;
      Complete Result of NA35 Malakand ",2002
"Muhammad Riaz Khan","PML-Q","5161",35,"&#13;
      Complete Result of NA35 Malakand ",2002
"Nowsherwan Qasir","PTI","2117",35,"&#13;
      Complete Result of NA35 Malakand ",2002
"Ziaullah","PML-N","1930",35,"&#13;
      Complete Result of NA35 Malakand ",2002
"Maulana Ghulam Muhammadh Sadiq","Independent","16358",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Azmat Khan","Independent","3922",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Hazrat Khan","Independent","1730",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Mehbub Sher","Independent","1208",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Malik Badri Zaman","Independent","959",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Major ® Rooman Khan","Independent","170",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Muallam Khan","Independent","76",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Haji Nadir Khan","Independent","74",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Haji Manzoor Khan","Independent","64",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Zahir Shah Advocate","Independent","60",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Muhammad Azad Khan","Independent","27",36,"&#13;
      Complete Result of NA36 Tribal Area",2002
"Doctor Sayed Javaidh Hussain Mian","Independent","21053",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Sayed Muhammad Jawad @ Jawadh Agha","Independent","8602",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Eid Nazar Mangal","Independent","5858",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Sayed Wali Sayed Mian","Independent","5653",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Sayed Muhammad","Independent","38",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Muhammad Asgher","Independent","32",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Doctor Syed Riaz Hussain","Independent","27",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Alif Gul Jaji","Independent","22",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Naveed Ahmad Khan","Independent","14",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Mir Zaman Bangash","Independent","6",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Nasir Hussain","Independent","6",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Muslim Khan","Independent","5",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Doctor Abdul Janan","Independent","3",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Sayed Altaf Hussain","Independent","2",37,"&#13;
      Complete Result of NA37 Tribal Area",2002
"Munir Khan Orakzai","Independent","6619",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"DoctorhGul Manan"," Independent","3427",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Salah-ud-din","Independent","2064",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Haji Fazli Maula Massozai","Independent","1797",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Maulana Ainuddin Shakir","Independent","1033",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Muhammad Yaqoob","Independent","749",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Fakhar Zaman Khan","Independent","68",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Engineer Rashid Ahmad Khanh Chamkani","Independent","61",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Haji Daulat Khan Chamkani","Independent","45",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Zar Bat Khan","Independent","39",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Abdul Qadir Khan","Independent","34",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Muhammad Nawaz","Independent","28",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Malik Muhammad Naseer Khanh Orakzai","Independent","23",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Abdul Wali Khan","Independent","17",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Naveed Ahmad Khan","Independent","16",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Haji Suhbat Khan Orakzai","Independent","12",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Engineer Toor Gul Chamkani","Independent","7",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
"Doctor Abdul Janan","Independent","7",38,"&#13;
      Complete Result of NA38 Tribal Area",2002
